hidden1,hidden2,dropout,lr,f1_score
32,16,0.1,0.001,0.9895104895104895
32,16,0.1,0.01,0.9731663685152058
32,16,0.2,0.001,0.9912126537785588
32,16,0.2,0.01,0.9838998211091234
32,16,0.3,0.001,0.9929078014184397
32,16,0.3,0.01,0.9929078014184397
32,32,0.1,0.001,0.9964788732394366
32,32,0.1,0.01,0.9740932642487047
32,32,0.2,0.001,0.9946714031971581
32,32,0.2,0.01,0.9911816578483245
32,32,0.3,0.001,0.9929577464788732
32,32,0.3,0.01,0.9929577464788732
32,64,0.1,0.001,0.9946714031971581
32,64,0.1,0.01,0.9946714031971581
32,64,0.2,0.001,0.9947275922671354
32,64,0.2,0.01,0.9783393501805054
32,64,0.3,0.001,0.9929824561403509
32,64,0.3,0.01,0.9788732394366197
64,16,0.1,0.001,0.987783595113438
64,16,0.1,0.01,0.9710144927536232
64,16,0.2,0.001,0.985663082437276
64,16,0.2,0.01,0.9874776386404294
64,16,0.3,0.001,0.9893992932862191
64,16,0.3,0.01,0.9859649122807017
64,32,0.1,0.001,0.9792387543252595
64,32,0.1,0.01,0.9671532846715328
64,32,0.2,0.001,0.9894366197183099
64,32,0.2,0.01,0.9823321554770318
64,32,0.3,0.001,0.9946902654867257
64,32,0.3,0.01,0.9740034662045061
64,64,0.1,0.001,0.9858156028368794
64,64,0.1,0.01,0.982078853046595
64,64,0.2,0.001,0.9946902654867257
64,64,0.2,0.01,0.975
64,64,0.3,0.001,0.9874776386404294
64,64,0.3,0.01,0.972875226039783
128,16,0.1,0.001,0.9912126537785588
128,16,0.1,0.01,0.9911816578483245
128,16,0.2,0.001,0.987783595113438
128,16,0.2,0.01,0.9805996472663139
128,16,0.3,0.001,0.9894736842105263
128,16,0.3,0.01,0.9911504424778761
128,32,0.1,0.001,0.9874776386404294
128,32,0.1,0.01,0.9894366197183099
128,32,0.2,0.001,0.9912434325744308
128,32,0.2,0.01,0.9876106194690265
128,32,0.3,0.001,0.9911190053285968
128,32,0.3,0.01,0.9857142857142858
128,64,0.1,0.001,0.9622980251346499
128,64,0.1,0.01,0.9910873440285205
128,64,0.2,0.001,0.9894366197183099
128,64,0.2,0.01,0.9910873440285205
128,64,0.3,0.001,0.9946714031971581
128,64,0.3,0.01,0.9859154929577465
